,time_get_data,city,title,flood,address,followInfo,tag,priceInfo,follower,release_time
8749,2022-10-29,sh,张江东+二号线+唐镇国际社区+精装修+税费少必看好房,金唐公寓    -  唐镇,2室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,63人关注 / 3个月以前发布,VR看装修房本满五年,"468万52,948元/平",63人关注 ,3个月以前发布
8750,2022-10-29,sh,内环内，人车分流，中间楼层，采光好，满五年，税费低必看好房,上青佳园    -  长寿路,1室2厅 | 86.24平米 | 南 北 | 精装 | 中楼层(共30层) | 2004年建 | 板楼,22人关注 / 1个月以前发布,VR看装修房本满五年,"760万88,127元/平",22人关注 ,1个月以前发布
8751,2022-10-29,sh,小区河景房环境好，户型方正采光好，视野开阔无遮挡必看好房,鹤沙航城航武嘉园    -  航头,2室2厅 | 80.12平米 | 南 | 简装 | 高楼层(共18层) | 2013年建 | 板楼,23人关注 / 10个月以前发布,VR看装修房本满两年,"315万39,317元/平",23人关注 ,10个月以前发布
8752,2022-10-29,sh,中间楼层 精装修 满五且仅有一套必看好房,舒馨北苑    -  川沙,2室2厅 | 82.59平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,27人关注 / 2个月以前发布,VR看装修房本满五年,"433万52,428元/平",27人关注 ,2个月以前发布
8753,2022-10-29,sh,边套南北 小户型 低总价 黄埔滨江边 陆家嘴边必看好房,微山二村    -  塘桥,2室0厅 | 46.22平米 | 东 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,8人关注 / 15天以前发布,近地铁VR看装修房本满五年,"343万74,211元/平",8人关注 ,15天以前发布
8754,2022-10-29,sh,满五年税费少，中间楼层，婚房装修，拎包入住必看好房,安阁苑    -  周浦,2室1厅 | 72.26平米 | 南 | 精装 | 中楼层(共4层) | 2006年建 | 板楼,148人关注 / 3个月以前发布,VR看装修房本满五年,"325万44,977元/平",148人关注 ,3个月以前发布
8755,2022-10-29,sh,徐汇漕河泾，08年电梯房，两房两卫，房子满五年必看好房,永兆豪庭    -  漕河泾,2室2厅 | 111.52平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,75人关注 / 4个月以前发布,近地铁VR房源房本满五年,"1140万102,224元/平",75人关注 ,4个月以前发布
8756,2022-10-29,sh,2号线+唐镇国际社区+近地铁+刚需盘+全明户型+精装修必看好房,东唐苑    -  唐镇,2室2厅 | 81.22平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,95人关注 / 9个月以前发布,近地铁VR看装修房本满五年,"420万51,712元/平",95人关注 ,9个月以前发布
8757,2022-10-29,sh,航华之光，低层税少，看房方便，业主靠谱！价到可签必看好房,航华四村    -  航华,2室1厅 | 52.14平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,4人关注 / 1个月以前发布,近地铁VR房源房本满五年,"305万58,497元/平",4人关注 ,1个月以前发布
8758,2022-10-29,sh,中内环双南一房，户型方正，位置安静，诚意出售必看好房,艾东小区    -  北蔡,1室1厅 | 44.01平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,39人关注 / 4个月以前发布,近地铁VR看装修房本满五年,"289万65,667元/平",39人关注 ,4个月以前发布
8759,2022-10-29,sh,低总价+户型好+高效售房+规划好。必看好房,嘉茵苑    -  大宁,2室2厅 | 102.63平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,18人关注 / 9天以前发布,VR看装修房本满五年随时看房,"840万81,848元/平",18人关注 ,9天以前发布
8760,2022-10-29,sh,上海花城 2室2厅 南 北必看好房,上海花城    -  中山公园,2室2厅 | 133.1平米 | 南 北 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,7人关注 / 9天以前发布,VR看装修房本满五年随时看房,"1280万96,169元/平",7人关注 ,9天以前发布
8761,2022-10-29,sh,边套全明+户型方正+采光充足+m5v1+9号线/12号线必看好房,园艺新村    -  七宝,3室1厅 | 68.7平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,7人关注 / 14天以前发布,VR房源房本满五年随时看房,"520万75,692元/平",7人关注 ,14天以前发布
8762,2022-10-29,sh,满五年无个税，低总价，楼层好，采光好，诚售方便看！必看好房,古北嘉年华庭    -  古北,1室2厅 | 70.09平米 | 南 北 | 精装 | 9层 | 2005年建 | 板楼,13人关注 / 7天以前发布,近地铁VR看装修房本满五年,"750万107,006元/平",13人关注 ,7天以前发布
8763,2022-10-29,sh,双南两房、经典户型、通勤方便、中间楼层、满五仅一套必看好房,龙柏三村    -  龙柏,2室1厅 | 60.84平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,10人关注 / 5天以前发布,近地铁VR看装修房本满五年,"426万70,020元/平",10人关注 ,5天以前发布
8764,2022-10-29,sh,莲浦府邸(公寓) 4室2厅 南必看好房,莲浦府邸(公寓)    -  七宝,4室2厅 | 164.7平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,3人关注 / 13天以前发布,VR看装修房本满五年,"1560万94,718元/平",3人关注 ,13天以前发布
8765,2022-10-29,sh,业主诚意+单价低+改动好+房子舒适且来赛必看好房,龙柏二村    -  龙柏,2室1厅 | 60.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,21人关注 / 11天以前发布,VR看装修房本满五年,"356万58,766元/平",21人关注 ,11天以前发布
8766,2022-10-29,sh,这套户型在这栋楼当中看江景很好的户型必看好房,财富海景花园    -  陆家嘴,3室2厅 | 200.18平米 | 西南 | 精装 | 高楼层(共30层) | 2006年建 | 板塔结合,4人关注 / 1个月以前发布,近地铁VR房源房本满两年随时看房,"3750万187,332元/平",4人关注 ,1个月以前发布
8767,2022-10-29,sh,南北通透，精装修，满五年税费低，随时看房必看好房,绿地金卫新家园（东区）    -  金山,2室2厅 | 99.29平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,169人关注 / 一年前发布,VR看装修房本满五年随时看房,"155万15,611元/平",169人关注 ,一年前发布
8768,2022-10-29,sh,准电梯房，精装修空置有钥匙，税费各付必看好房,舒兴小区    -  西郊,2室1厅 | 64.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,12人关注 / 18天以前发布,近地铁VR看装修房本满五年随时看房,"346万53,561元/平",12人关注 ,18天以前发布
8769,2022-10-29,sh,房子售后公房，满五年唯，一。高层采光好必看好房,田林新苑    -  田林,2室1厅 | 79.98平米 | 南 北 | 简装 | 中楼层(共28层) | 1993年建 | 塔楼,7人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,"580万72,519元/平",7人关注 ,7个月以前发布
8770,2022-10-29,sh,精装修实木地板+中间楼层+南北通户型+诚心出售必看好房,瑞和新苑浦涛路400弄    -  闵浦,2室1厅 | 73.02平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,21人关注 / 29天以前发布,近地铁VR房源房本满两年,"298万40,811元/平",21人关注 ,29天以前发布
8771,2022-10-29,sh,内环边，板式户型，中间楼层南北通透两房，采光好必看好房,海联花苑    -  金虹桥,2室2厅 | 83.4平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,24人关注 / 27天以前发布,VR看装修房本满五年,"670万80,336元/平",24人关注 ,27天以前发布
8772,2022-10-29,sh,好位置，采光视野好，全南户型，落地窗，诚意出售必看好房,罗马花园    -  古北,2室2厅 | 143.3平米 | 南 | 精装 | 低楼层(共18层) | 1994年建 | 板楼,18人关注 / 1个月以前发布,近地铁VR房源房本满五年,"1210万84,439元/平",18人关注 ,1个月以前发布
8773,2022-10-29,sh,精装修，近地铁，满五年，业主诚意出售必看好房,新泾一村    -  北新泾,1室1厅 | 37.75平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,8人关注 / 19天以前发布,近地铁VR看装修房本满五年,"258万68,345元/平",8人关注 ,19天以前发布
8774,2022-10-29,sh,新上：世纪大道站；一梯两户，精装，南北通，全明两房必看好房,竹南小区    -  潍坊,2室1厅 | 48.52平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,13人关注 / 8天以前发布,近地铁VR看装修房本满五年,"467万96,249元/平",13人关注 ,8天以前发布
8775,2022-10-29,sh,近龙柏低总价2房全明双南户型，业主置换急卖必看好房,虹井小区    -  金汇,2室2厅 | 81.77平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,9人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,"490万59,925元/平",9人关注 ,1个月以前发布
8776,2022-10-29,sh,近地铁，满五年税费少，配套成熟，户型通透必看好房,海逸公寓    -  天山,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共18层) | 2005年建 | 板楼,36人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,"1595万110,000元/平",36人关注 ,7个月以前发布
8777,2022-10-29,sh,万达商圈+新城板块+配套成熟+满五+中间楼层必看好房,绿地金卫新家园（西区）    -  金山,2室2厅 | 86.95平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,63人关注 / 3个月以前发布,VR看装修房本满五年随时看房,"135万15,527元/平",63人关注 ,3个月以前发布
8778,2022-10-29,sh,新上房源 房本满5年无个税 小区中间位置 地段优越必看好房,桃园新村(川沙)    -  川沙,2室1厅 | 65.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,15人关注 / 2个月以前发布,VR看装修房本满五年随时看房,"323万49,238元/平",15人关注 ,2个月以前发布
8779,2022-10-29,sh,张江东+二号线+唐镇国际社区+精装修+税费少必看好房,金唐公寓    -  唐镇,2室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,63人关注 / 3个月以前发布,VR看装修房本满五年,"468万52,948元/平",63人关注 ,3个月以前发布
8780,2022-10-29,sh,内环内，人车分流，中间楼层，采光好，满五年，税费低必看好房,上青佳园    -  长寿路,1室2厅 | 86.24平米 | 南 北 | 精装 | 中楼层(共30层) | 2004年建 | 板楼,22人关注 / 1个月以前发布,VR看装修房本满五年,"760万88,127元/平",22人关注 ,1个月以前发布
8781,2022-10-29,sh,小区河景房环境好，户型方正采光好，视野开阔无遮挡必看好房,鹤沙航城航武嘉园    -  航头,2室2厅 | 80.12平米 | 南 | 简装 | 高楼层(共18层) | 2013年建 | 板楼,23人关注 / 10个月以前发布,VR看装修房本满两年,"315万39,317元/平",23人关注 ,10个月以前发布
8782,2022-10-29,sh,中间楼层 精装修 满五且仅有一套必看好房,舒馨北苑    -  川沙,2室2厅 | 82.59平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,27人关注 / 2个月以前发布,VR看装修房本满五年,"433万52,428元/平",27人关注 ,2个月以前发布
8783,2022-10-29,sh,边套南北 小户型 低总价 黄埔滨江边 陆家嘴边必看好房,微山二村    -  塘桥,2室0厅 | 46.22平米 | 东 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,8人关注 / 15天以前发布,近地铁VR看装修房本满五年,"343万74,211元/平",8人关注 ,15天以前发布
8784,2022-10-29,sh,满五年税费少，中间楼层，婚房装修，拎包入住必看好房,安阁苑    -  周浦,2室1厅 | 72.26平米 | 南 | 精装 | 中楼层(共4层) | 2006年建 | 板楼,148人关注 / 3个月以前发布,VR看装修房本满五年,"325万44,977元/平",148人关注 ,3个月以前发布
8785,2022-10-29,sh,徐汇漕河泾，08年电梯房，两房两卫，房子满五年必看好房,永兆豪庭    -  漕河泾,2室2厅 | 111.52平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,75人关注 / 4个月以前发布,近地铁VR房源房本满五年,"1140万102,224元/平",75人关注 ,4个月以前发布
8786,2022-10-29,sh,2号线+唐镇国际社区+近地铁+刚需盘+全明户型+精装修必看好房,东唐苑    -  唐镇,2室2厅 | 81.22平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,95人关注 / 9个月以前发布,近地铁VR看装修房本满五年,"420万51,712元/平",95人关注 ,9个月以前发布
8787,2022-10-29,sh,航华之光，低层税少，看房方便，业主靠谱！价到可签必看好房,航华四村    -  航华,2室1厅 | 52.14平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,4人关注 / 1个月以前发布,近地铁VR房源房本满五年,"305万58,497元/平",4人关注 ,1个月以前发布
8788,2022-10-29,sh,中内环双南一房，户型方正，位置安静，诚意出售必看好房,艾东小区    -  北蔡,1室1厅 | 44.01平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,39人关注 / 4个月以前发布,近地铁VR看装修房本满五年,"289万65,667元/平",39人关注 ,4个月以前发布
8789,2022-10-29,sh,低总价+户型好+高效售房+规划好。必看好房,嘉茵苑    -  大宁,2室2厅 | 102.63平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,18人关注 / 9天以前发布,VR看装修房本满五年随时看房,"840万81,848元/平",18人关注 ,9天以前发布
8790,2022-10-29,sh,上海花城 2室2厅 南 北必看好房,上海花城    -  中山公园,2室2厅 | 133.1平米 | 南 北 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,7人关注 / 9天以前发布,VR看装修房本满五年随时看房,"1280万96,169元/平",7人关注 ,9天以前发布
8791,2022-10-29,sh,边套全明+户型方正+采光充足+m5v1+9号线/12号线必看好房,园艺新村    -  七宝,3室1厅 | 68.7平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,7人关注 / 14天以前发布,VR房源房本满五年随时看房,"520万75,692元/平",7人关注 ,14天以前发布
8792,2022-10-29,sh,满五年无个税，低总价，楼层好，采光好，诚售方便看！必看好房,古北嘉年华庭    -  古北,1室2厅 | 70.09平米 | 南 北 | 精装 | 9层 | 2005年建 | 板楼,13人关注 / 7天以前发布,近地铁VR看装修房本满五年,"750万107,006元/平",13人关注 ,7天以前发布
8793,2022-10-29,sh,双南两房、经典户型、通勤方便、中间楼层、满五仅一套必看好房,龙柏三村    -  龙柏,2室1厅 | 60.84平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,10人关注 / 5天以前发布,近地铁VR看装修房本满五年,"426万70,020元/平",10人关注 ,5天以前发布
8794,2022-10-29,sh,莲浦府邸(公寓) 4室2厅 南必看好房,莲浦府邸(公寓)    -  七宝,4室2厅 | 164.7平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,3人关注 / 13天以前发布,VR看装修房本满五年,"1560万94,718元/平",3人关注 ,13天以前发布
8795,2022-10-29,sh,业主诚意+单价低+改动好+房子舒适且来赛必看好房,龙柏二村    -  龙柏,2室1厅 | 60.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,21人关注 / 11天以前发布,VR看装修房本满五年,"356万58,766元/平",21人关注 ,11天以前发布
8796,2022-10-29,sh,这套户型在这栋楼当中看江景很好的户型必看好房,财富海景花园    -  陆家嘴,3室2厅 | 200.18平米 | 西南 | 精装 | 高楼层(共30层) | 2006年建 | 板塔结合,4人关注 / 1个月以前发布,近地铁VR房源房本满两年随时看房,"3750万187,332元/平",4人关注 ,1个月以前发布
8797,2022-10-29,sh,南北通透，精装修，满五年税费低，随时看房必看好房,绿地金卫新家园（东区）    -  金山,2室2厅 | 99.29平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,169人关注 / 一年前发布,VR看装修房本满五年随时看房,"155万15,611元/平",169人关注 ,一年前发布
8798,2022-10-29,sh,准电梯房，精装修空置有钥匙，税费各付必看好房,舒兴小区    -  西郊,2室1厅 | 64.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,12人关注 / 18天以前发布,近地铁VR看装修房本满五年随时看房,"346万53,561元/平",12人关注 ,18天以前发布
8799,2022-10-29,sh,房子售后公房，满五年唯，一。高层采光好必看好房,田林新苑    -  田林,2室1厅 | 79.98平米 | 南 北 | 简装 | 中楼层(共28层) | 1993年建 | 塔楼,7人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,"580万72,519元/平",7人关注 ,7个月以前发布
8800,2022-10-29,sh,精装修实木地板+中间楼层+南北通户型+诚心出售必看好房,瑞和新苑浦涛路400弄    -  闵浦,2室1厅 | 73.02平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,21人关注 / 29天以前发布,近地铁VR房源房本满两年,"298万40,811元/平",21人关注 ,29天以前发布
8801,2022-10-29,sh,内环边，板式户型，中间楼层南北通透两房，采光好必看好房,海联花苑    -  金虹桥,2室2厅 | 83.4平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,24人关注 / 27天以前发布,VR看装修房本满五年,"670万80,336元/平",24人关注 ,27天以前发布
8802,2022-10-29,sh,好位置，采光视野好，全南户型，落地窗，诚意出售必看好房,罗马花园    -  古北,2室2厅 | 143.3平米 | 南 | 精装 | 低楼层(共18层) | 1994年建 | 板楼,18人关注 / 1个月以前发布,近地铁VR房源房本满五年,"1210万84,439元/平",18人关注 ,1个月以前发布
8803,2022-10-29,sh,精装修，近地铁，满五年，业主诚意出售必看好房,新泾一村    -  北新泾,1室1厅 | 37.75平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,8人关注 / 19天以前发布,近地铁VR看装修房本满五年,"258万68,345元/平",8人关注 ,19天以前发布
8804,2022-10-29,sh,新上：世纪大道站；一梯两户，精装，南北通，全明两房必看好房,竹南小区    -  潍坊,2室1厅 | 48.52平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,13人关注 / 8天以前发布,近地铁VR看装修房本满五年,"467万96,249元/平",13人关注 ,8天以前发布
8805,2022-10-29,sh,近龙柏低总价2房全明双南户型，业主置换急卖必看好房,虹井小区    -  金汇,2室2厅 | 81.77平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,9人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,"490万59,925元/平",9人关注 ,1个月以前发布
8806,2022-10-29,sh,近地铁，满五年税费少，配套成熟，户型通透必看好房,海逸公寓    -  天山,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共18层) | 2005年建 | 板楼,36人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,"1595万110,000元/平",36人关注 ,7个月以前发布
8807,2022-10-29,sh,万达商圈+新城板块+配套成熟+满五+中间楼层必看好房,绿地金卫新家园（西区）    -  金山,2室2厅 | 86.95平米 | 南 北 | 简装 | 低楼层(共6层) | 2007年建 | 板楼,63人关注 / 3个月以前发布,VR看装修房本满五年随时看房,"135万15,527元/平",63人关注 ,3个月以前发布
8808,2022-10-29,sh,新上房源 房本满5年无个税 小区中间位置 地段优越必看好房,桃园新村(川沙)    -  川沙,2室1厅 | 65.6平米 | 南 | 简装 | 中楼层(共6层) | 1994年建 | 板楼,15人关注 / 2个月以前发布,VR看装修房本满五年随时看房,"323万49,238元/平",15人关注 ,2个月以前发布
8809,2022-10-29,sh,张江东+二号线+唐镇国际社区+精装修+税费少必看好房,金唐公寓    -  唐镇,2室2厅 | 88.39平米 | 南 | 精装 | 高楼层(共6层) | 2006年建 | 板楼,63人关注 / 3个月以前发布,VR看装修房本满五年,"468万52,948元/平",63人关注 ,3个月以前发布
8810,2022-10-29,sh,内环内，人车分流，中间楼层，采光好，满五年，税费低必看好房,上青佳园    -  长寿路,1室2厅 | 86.24平米 | 南 北 | 精装 | 中楼层(共30层) | 2004年建 | 板楼,22人关注 / 1个月以前发布,VR看装修房本满五年,"760万88,127元/平",22人关注 ,1个月以前发布
8811,2022-10-29,sh,小区河景房环境好，户型方正采光好，视野开阔无遮挡必看好房,鹤沙航城航武嘉园    -  航头,2室2厅 | 80.12平米 | 南 | 简装 | 高楼层(共18层) | 2013年建 | 板楼,23人关注 / 10个月以前发布,VR看装修房本满两年,"315万39,317元/平",23人关注 ,10个月以前发布
8812,2022-10-29,sh,中间楼层 精装修 满五且仅有一套必看好房,舒馨北苑    -  川沙,2室2厅 | 82.59平米 | 南 | 精装 | 中楼层(共6层) | 2007年建 | 板楼,27人关注 / 2个月以前发布,VR看装修房本满五年,"433万52,428元/平",27人关注 ,2个月以前发布
8813,2022-10-29,sh,边套南北 小户型 低总价 黄埔滨江边 陆家嘴边必看好房,微山二村    -  塘桥,2室0厅 | 46.22平米 | 东 | 精装 | 高楼层(共6层) | 1984年建 | 板楼,8人关注 / 15天以前发布,近地铁VR看装修房本满五年,"343万74,211元/平",8人关注 ,15天以前发布
8814,2022-10-29,sh,满五年税费少，中间楼层，婚房装修，拎包入住必看好房,安阁苑    -  周浦,2室1厅 | 72.26平米 | 南 | 精装 | 中楼层(共4层) | 2006年建 | 板楼,148人关注 / 3个月以前发布,VR看装修房本满五年,"325万44,977元/平",148人关注 ,3个月以前发布
8815,2022-10-29,sh,徐汇漕河泾，08年电梯房，两房两卫，房子满五年必看好房,永兆豪庭    -  漕河泾,2室2厅 | 111.52平米 | 南 | 精装 | 中楼层(共18层) | 2008年建 | 板楼,75人关注 / 4个月以前发布,近地铁VR房源房本满五年,"1140万102,224元/平",75人关注 ,4个月以前发布
8816,2022-10-29,sh,2号线+唐镇国际社区+近地铁+刚需盘+全明户型+精装修必看好房,东唐苑    -  唐镇,2室2厅 | 81.22平米 | 南 | 精装 | 中楼层(共6层) | 1999年建 | 板楼,95人关注 / 9个月以前发布,近地铁VR看装修房本满五年,"420万51,712元/平",95人关注 ,9个月以前发布
8817,2022-10-29,sh,航华之光，低层税少，看房方便，业主靠谱！价到可签必看好房,航华四村    -  航华,2室1厅 | 52.14平米 | 南 | 精装 | 低楼层(共6层) | 1994年建 | 板楼,4人关注 / 1个月以前发布,近地铁VR房源房本满五年,"305万58,497元/平",4人关注 ,1个月以前发布
8818,2022-10-29,sh,中内环双南一房，户型方正，位置安静，诚意出售必看好房,艾东小区    -  北蔡,1室1厅 | 44.01平米 | 南 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,39人关注 / 4个月以前发布,近地铁VR看装修房本满五年,"289万65,667元/平",39人关注 ,4个月以前发布
8819,2022-10-29,sh,低总价+户型好+高效售房+规划好。必看好房,嘉茵苑    -  大宁,2室2厅 | 102.63平米 | 南 | 简装 | 高楼层(共6层) | 1998年建 | 板楼,18人关注 / 9天以前发布,VR看装修房本满五年随时看房,"840万81,848元/平",18人关注 ,9天以前发布
8820,2022-10-29,sh,上海花城 2室2厅 南 北必看好房,上海花城    -  中山公园,2室2厅 | 133.1平米 | 南 北 | 精装 | 中楼层(共11层) | 2000年建 | 板楼,7人关注 / 9天以前发布,VR看装修房本满五年随时看房,"1280万96,169元/平",7人关注 ,9天以前发布
8821,2022-10-29,sh,边套全明+户型方正+采光充足+m5v1+9号线/12号线必看好房,园艺新村    -  七宝,3室1厅 | 68.7平米 | 南 北 | 毛坯 | 高楼层(共6层) | 1995年建 | 板楼,7人关注 / 14天以前发布,VR房源房本满五年随时看房,"520万75,692元/平",7人关注 ,14天以前发布
8822,2022-10-29,sh,满五年无个税，低总价，楼层好，采光好，诚售方便看！必看好房,古北嘉年华庭    -  古北,1室2厅 | 70.09平米 | 南 北 | 精装 | 9层 | 2005年建 | 板楼,13人关注 / 7天以前发布,近地铁VR看装修房本满五年,"750万107,006元/平",13人关注 ,7天以前发布
8823,2022-10-29,sh,双南两房、经典户型、通勤方便、中间楼层、满五仅一套必看好房,龙柏三村    -  龙柏,2室1厅 | 60.84平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,10人关注 / 5天以前发布,近地铁VR看装修房本满五年,"426万70,020元/平",10人关注 ,5天以前发布
8824,2022-10-29,sh,莲浦府邸(公寓) 4室2厅 南必看好房,莲浦府邸(公寓)    -  七宝,4室2厅 | 164.7平米 | 南 | 精装 | 低楼层(共14层) | 2005年建 | 板楼,3人关注 / 13天以前发布,VR看装修房本满五年,"1560万94,718元/平",3人关注 ,13天以前发布
8825,2022-10-29,sh,业主诚意+单价低+改动好+房子舒适且来赛必看好房,龙柏二村    -  龙柏,2室1厅 | 60.58平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,21人关注 / 11天以前发布,VR看装修房本满五年,"356万58,766元/平",21人关注 ,11天以前发布
8826,2022-10-29,sh,这套户型在这栋楼当中看江景很好的户型必看好房,财富海景花园    -  陆家嘴,3室2厅 | 200.18平米 | 西南 | 精装 | 高楼层(共30层) | 2006年建 | 板塔结合,4人关注 / 1个月以前发布,近地铁VR房源房本满两年随时看房,"3750万187,332元/平",4人关注 ,1个月以前发布
8827,2022-10-29,sh,南北通透，精装修，满五年税费低，随时看房必看好房,绿地金卫新家园（东区）    -  金山,2室2厅 | 99.29平米 | 南 北 | 精装 | 低楼层(共6层) | 2009年建 | 板楼,169人关注 / 一年前发布,VR看装修房本满五年随时看房,"155万15,611元/平",169人关注 ,一年前发布
8828,2022-10-29,sh,准电梯房，精装修空置有钥匙，税费各付必看好房,舒兴小区    -  西郊,2室1厅 | 64.6平米 | 南 | 精装 | 高楼层(共6层) | 1994年建 | 板楼,12人关注 / 18天以前发布,近地铁VR看装修房本满五年随时看房,"346万53,561元/平",12人关注 ,18天以前发布
8829,2022-10-29,sh,房子售后公房，满五年唯，一。高层采光好必看好房,田林新苑    -  田林,2室1厅 | 79.98平米 | 南 北 | 简装 | 中楼层(共28层) | 1993年建 | 塔楼,7人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,"580万72,519元/平",7人关注 ,7个月以前发布
8830,2022-10-29,sh,精装修实木地板+中间楼层+南北通户型+诚心出售必看好房,瑞和新苑浦涛路400弄    -  闵浦,2室1厅 | 73.02平米 | 南 北 | 精装 | 中楼层(共6层) | 2008年建 | 板楼,21人关注 / 29天以前发布,近地铁VR房源房本满两年,"298万40,811元/平",21人关注 ,29天以前发布
8831,2022-10-29,sh,内环边，板式户型，中间楼层南北通透两房，采光好必看好房,海联花苑    -  金虹桥,2室2厅 | 83.4平米 | 南 北 | 精装 | 低楼层(共6层) | 1996年建 | 板楼,24人关注 / 27天以前发布,VR看装修房本满五年,"670万80,336元/平",24人关注 ,27天以前发布
8832,2022-10-29,sh,好位置，采光视野好，全南户型，落地窗，诚意出售必看好房,罗马花园    -  古北,2室2厅 | 143.3平米 | 南 | 精装 | 低楼层(共18层) | 1994年建 | 板楼,18人关注 / 1个月以前发布,近地铁VR房源房本满五年,"1210万84,439元/平",18人关注 ,1个月以前发布
8833,2022-10-29,sh,精装修，近地铁，满五年，业主诚意出售必看好房,新泾一村    -  北新泾,1室1厅 | 37.75平米 | 南 | 精装 | 中楼层(共6层) | 1997年建 | 板楼,8人关注 / 19天以前发布,近地铁VR看装修房本满五年,"258万68,345元/平",8人关注 ,19天以前发布
8834,2022-10-29,sh,新上：世纪大道站；一梯两户，精装，南北通，全明两房必看好房,竹南小区    -  潍坊,2室1厅 | 48.52平米 | 南 北 | 精装 | 高楼层(共6层) | 1989年建 | 板楼,13人关注 / 8天以前发布,近地铁VR看装修房本满五年,"467万96,249元/平",13人关注 ,8天以前发布
8835,2022-10-29,sh,近龙柏低总价2房全明双南户型，业主置换急卖必看好房,虹井小区    -  金汇,2室2厅 | 81.77平米 | 南 | 精装 | 高楼层(共6层) | 1995年建 | 板楼,9人关注 / 1个月以前发布,近地铁VR看装修房本满五年随时看房,"490万59,925元/平",9人关注 ,1个月以前发布
8836,2022-10-29,sh,近地铁，满五年税费少，配套成熟，户型通透必看好房,海逸公寓    -  天山,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共18层) | 2005年建 | 板楼,36人关注 / 7个月以前发布,近地铁VR看装修房本满五年随时看房,"1595万110,000元/平",36人关注 ,7个月以前发布
